Username,Emotion,Date,Time
aa,Happy User,2024-05-13,14:36:08
aa,User under pressure,2024-05-13,14:36:10
aa,User under pressure,2024-05-13,14:36:10
aa,Happy User,2024-05-13,14:36:10
aa,User under pressure,2024-05-13,14:36:12
aa,User under pressure,2024-05-13,14:36:12
aa,Happy User,2024-05-13,14:36:12
aa,User under pressure,2024-05-13,14:40:37
aa,User under pressure,2024-05-13,14:40:37
aa,Happy User,2024-05-13,14:40:37
aa,User under pressure,2024-05-13,14:40:38
aa,User under pressure,2024-05-13,14:40:38
aa,Happy User,2024-05-13,14:40:38
aa,User under pressure,2024-05-13,14:40:40
aa,User under pressure,2024-05-13,14:40:40
aa,Happy User,2024-05-13,14:40:40
aa,User under pressure,2024-05-13,14:40:46
aa,User under pressure,2024-05-13,14:40:46
aa,Happy User,2024-05-13,14:40:46
aa,User under pressure,2024-05-13,14:45:14
aa,User under pressure,2024-05-13,14:45:14
aa,Happy User,2024-05-13,14:45:14
aa,User under pressure,2024-05-13,14:45:16
aa,User under pressure,2024-05-13,14:45:16
aa,Happy User,2024-05-13,14:45:16
aa,User under pressure,2024-05-13,14:45:16
aa,User is Calm,2024-05-13,14:45:16
aa,User under pressure,2024-05-13,14:45:19
aa,User under pressure,2024-05-13,14:45:19
aa,Happy User,2024-05-13,14:45:19
aa,User under pressure,2024-05-13,14:49:53
aa,User under pressure,2024-05-13,14:49:53
aa,Happy User,2024-05-13,14:49:53
aa,User under pressure,2024-05-13,14:49:57
aa,User under pressure,2024-05-13,14:49:57
aa,Happy User,2024-05-13,14:49:57
aa,User under pressure,2024-05-13,14:49:58
aa,User under pressure,2024-05-13,14:49:58
aa,Happy User,2024-05-13,14:49:58
aa,User under pressure,2024-05-13,14:50:01
aa,User under pressure,2024-05-13,14:50:01
aa,Happy User,2024-05-13,14:50:01
aa,User under pressure,2024-05-13,14:52:15
aa,User under pressure,2024-05-13,14:52:15
aa,Happy User,2024-05-13,14:52:15
aa,User under pressure,2024-05-13,14:52:17
aa,User under pressure,2024-05-13,14:52:17
aa,Happy User,2024-05-13,14:52:17
aa,User under pressure,2024-05-13,14:52:19
aa,User under pressure,2024-05-13,14:52:19
aa,Happy User,2024-05-13,14:52:19
aa,User under pressure,2024-05-13,14:52:22
aa,User under pressure,2024-05-13,14:52:22
aa,Happy User,2024-05-13,14:52:22
aa,User is Uncomfortable,2024-05-13,15:13:44
aa,User is Uncomfortable,2024-05-13,15:13:44
aa,User under pressure,2024-05-13,15:13:44
aa,Happy User,2024-05-13,15:13:44
aa,User is Uncomfortable,2024-05-13,15:13:59
aa,User is Uncomfortable,2024-05-13,15:13:59
aa,User under pressure,2024-05-13,15:13:59
aa,Happy User,2024-05-13,15:13:59
aa,User is Uncomfortable,2024-05-13,15:14:01
aa,User is Uncomfortable,2024-05-13,15:14:01
aa,User under pressure,2024-05-13,15:14:01
aa,Happy User,2024-05-13,15:14:01
aa,User is Uncomfortable,2024-05-21,21:33:20
aa,User is Uncomfortable,2024-05-21,21:33:20
aa,User under pressure,2024-05-21,21:33:20
aa,Happy User,2024-05-21,21:33:20
aa,User is Uncomfortable,2024-05-21,21:34:00
aa,User is Uncomfortable,2024-05-21,21:34:00
aa,User under pressure,2024-05-21,21:34:00
aa,Happy User,2024-05-21,21:34:00
aa,User is Uncomfortable,2024-05-21,21:34:13
aa,User is Uncomfortable,2024-05-21,21:34:13
aa,User under pressure,2024-05-21,21:34:13
aa,Happy User,2024-05-21,21:34:13
aa,User is Uncomfortable,2024-05-21,21:34:27
aa,User is Uncomfortable,2024-05-21,21:34:27
aa,User under pressure,2024-05-21,21:34:27
aa,Happy User,2024-05-21,21:34:27
aa,User is Uncomfortable,2024-05-21,21:38:04
aa,User is Uncomfortable,2024-05-21,21:38:04
aa,User under pressure,2024-05-21,21:38:04
aa,Happy User,2024-05-21,21:38:04
aa,User is Uncomfortable,2024-05-21,21:38:08
aa,User is Uncomfortable,2024-05-21,21:38:08
aa,User under pressure,2024-05-21,21:38:08
aa,Happy User,2024-05-21,21:38:08
aa,User is Uncomfortable,2024-05-21,21:38:10
aa,User is Uncomfortable,2024-05-21,21:38:10
aa,User under pressure,2024-05-21,21:38:10
aa,Happy User,2024-05-21,21:38:10
aa,User is Uncomfortable,2024-05-21,21:38:12
aa,User is Uncomfortable,2024-05-21,21:38:12
aa,User under pressure,2024-05-21,21:38:12
aa,Happy User,2024-05-21,21:38:12
aa,User is Uncomfortable,2024-05-21,21:44:23
aa,User is Uncomfortable,2024-05-21,21:44:23
aa,User under pressure,2024-05-21,21:44:23
aa,Happy User,2024-05-21,21:44:23
aa,User is Uncomfortable,2024-05-21,21:44:38
aa,User is Uncomfortable,2024-05-21,21:44:38
aa,User under pressure,2024-05-21,21:44:38
aa,Happy User,2024-05-21,21:44:38
aa,User is Uncomfortable,2024-05-21,21:44:41
aa,User is Uncomfortable,2024-05-21,21:44:41
aa,User under pressure,2024-05-21,21:44:41
aa,Happy User,2024-05-21,21:44:41
aa,User is Uncomfortable,2024-05-21,21:44:46
aa,User is Uncomfortable,2024-05-21,21:44:46
aa,User under pressure,2024-05-21,21:44:46
aa,Happy User,2024-05-21,21:44:46
aa,User is Uncomfortable,2024-05-21,21:44:51
aa,User is Uncomfortable,2024-05-21,21:44:51
aa,User under pressure,2024-05-21,21:44:51
aa,Happy User,2024-05-21,21:44:51
aa,User is Uncomfortable,2024-05-21,21:52:57
aa,User is Uncomfortable,2024-05-21,21:52:57
aa,User under pressure,2024-05-21,21:52:57
aa,Happy User,2024-05-21,21:52:57
aa,User is Uncomfortable,2024-05-21,21:53:00
aa,User is Uncomfortable,2024-05-21,21:53:00
aa,User under pressure,2024-05-21,21:53:00
aa,Happy User,2024-05-21,21:53:00
aa,User is Uncomfortable,2024-05-21,21:59:37
aa,User is Uncomfortable,2024-05-21,21:59:37
aa,User under pressure,2024-05-21,21:59:37
aa,Happy User,2024-05-21,21:59:37
aa,User is Uncomfortable,2024-05-21,21:59:39
aa,User is Uncomfortable,2024-05-21,21:59:39
aa,User under pressure,2024-05-21,21:59:39
aa,Happy User,2024-05-21,21:59:39
aa,User is Uncomfortable,2024-05-21,21:59:43
aa,User is Uncomfortable,2024-05-21,21:59:43
aa,User under pressure,2024-05-21,21:59:43
aa,Happy User,2024-05-21,21:59:43
aa,User is Uncomfortable,2024-05-21,22:13:54
aa,User is Uncomfortable,2024-05-21,22:13:54
aa,User under pressure,2024-05-21,22:13:54
aa,Happy User,2024-05-21,22:13:54
aa,User is Uncomfortable,2024-05-21,22:13:56
aa,User is Uncomfortable,2024-05-21,22:13:56
aa,User under pressure,2024-05-21,22:13:56
aa,Happy User,2024-05-21,22:13:56
aa,User is Uncomfortable,2024-05-21,22:13:59
aa,User is Uncomfortable,2024-05-21,22:13:59
aa,User under pressure,2024-05-21,22:13:59
aa,Happy User,2024-05-21,22:13:59
aa,User is Uncomfortable,2024-05-21,22:28:50
aa,User is Uncomfortable,2024-05-21,22:28:50
aa,User under pressure,2024-05-21,22:28:50
aa,Happy User,2024-05-21,22:28:50
aa,User is Uncomfortable,2024-05-21,22:28:52
aa,User is Uncomfortable,2024-05-21,22:28:52
aa,User under pressure,2024-05-21,22:28:52
